[Name]
Series 1 at ave(Velocity)@fluid_chamber fluid_chamber_bottom_layer

[Data]
Time [ s ],ave(Velocity)@fluid_chamber fluid_chamber_bottom_layer [ m s^-1 ]
0.00000000e+000, 0.00000000e+000
2.50000012e-004, 3.33095253e-001
5.00000024e-004, 8.63339543e-001
7.50000007e-004, 2.09734201e+000
1.00000005e-003, 2.74626184e+000
1.25000009e-003, 3.91892362e+000
1.50000013e-003, 5.02377558e+000
1.75000017e-003, 6.14868116e+000
2.00000009e-003, 7.02273321e+000
2.25000014e-003, 7.78622150e+000
2.50000018e-003, 8.32627773e+000
2.75000022e-003, 8.76431847e+000
3.00000026e-003, 9.28634930e+000
3.25000030e-003, 9.74358845e+000
3.50000034e-003, 1.01517906e+001
3.75000038e-003, 1.05163698e+001
4.00000019e-003, 1.08384686e+001
4.25000023e-003, 1.10840960e+001
4.50000027e-003, 1.12667923e+001
4.75000031e-003, 1.13110209e+001
5.00000035e-003, 1.12587986e+001
5.25000039e-003, 1.11524687e+001
5.50000044e-003, 1.10474300e+001
5.75000048e-003, 1.09301558e+001
6.00000052e-003, 1.07870693e+001
6.25000056e-003, 1.06117611e+001
6.50000060e-003, 1.04237480e+001
6.75000064e-003, 1.02252245e+001
7.00000068e-003, 1.00140066e+001
7.25000072e-003, 9.79687309e+000
7.50000076e-003, 9.56425762e+000
7.75000080e-003, 9.38762665e+000
8.00000038e-003, 9.21084785e+000
8.24999996e-003, 9.02901173e+000
8.49999953e-003, 8.84076881e+000
8.74999911e-003, 8.64820099e+000
8.99999868e-003, 8.44999790e+000
9.24999826e-003, 8.24459457e+000
9.49999783e-003, 8.03150463e+000
9.74999741e-003, 7.81327009e+000
9.99999698e-003, 7.59122801e+000
1.02499966e-002, 7.36560440e+000
1.04999961e-002, 7.13749695e+000
1.07499957e-002, 6.90970850e+000
1.09999953e-002, 6.68414879e+000
1.12499949e-002, 6.46179533e+000
1.14999944e-002, 6.24475336e+000
1.17499940e-002, 6.03388405e+000
1.19999936e-002, 5.82965994e+000
1.22499932e-002, 5.63235521e+000
1.24999927e-002, 5.44286919e+000
1.27499923e-002, 5.25978661e+000
1.29999919e-002, 5.08716917e+000
1.32499915e-002, 4.92376947e+000
1.34999910e-002, 4.76207495e+000
1.37499906e-002, 4.62032700e+000
1.39999902e-002, 4.48370790e+000
1.42499898e-002, 4.35080338e+000
1.44999893e-002, 4.23251724e+000
1.47499889e-002, 4.12313986e+000
1.49999876e-002, 4.02235174e+000
1.52499881e-002, 3.93033552e+000
1.54999876e-002, 3.84597921e+000
1.57499872e-002, 3.76443553e+000
1.59999877e-002, 3.66899610e+000
1.62499882e-002, 3.61301565e+000
1.64999887e-002, 3.53991246e+000
1.67499892e-002, 3.47420692e+000
1.69999897e-002, 3.43434644e+000
1.72499903e-002, 3.40914392e+000
1.74999908e-002, 3.38177085e+000
1.77499913e-002, 3.36146593e+000
1.79999918e-002, 3.35034251e+000
1.82499923e-002, 3.34672928e+000
1.84999928e-002, 3.35045242e+000
1.87499933e-002, 3.36203361e+000
1.89999938e-002, 3.38137889e+000
1.92499943e-002, 3.40813112e+000
1.94999948e-002, 3.44214344e+000
1.97499953e-002, 3.48316169e+000
1.99999958e-002, 3.53080630e+000
2.02499963e-002, 3.58465815e+000
2.04999968e-002, 3.64423418e+000
2.07499973e-002, 3.70893455e+000
2.09999979e-002, 3.77818060e+000
2.12499984e-002, 3.85114646e+000
2.14999989e-002, 3.92701817e+000
2.17499994e-002, 4.00488997e+000
2.19999999e-002, 4.08378935e+000
2.22500004e-002, 4.16273403e+000
2.25000009e-002, 4.24063635e+000
2.27500014e-002, 4.31657839e+000
2.30000019e-002, 4.38936663e+000
2.32500024e-002, 4.45797873e+000
2.35000029e-002, 4.52137899e+000
2.37500034e-002, 4.57853556e+000
2.40000039e-002, 4.62857294e+000
2.42500044e-002, 4.67084742e+000
2.45000049e-002, 4.70472145e+000
2.47500055e-002, 4.73024702e+000
2.50000060e-002, 4.74791145e+000
2.52500065e-002, 4.75929499e+000
2.55000070e-002, 4.76701260e+000
2.57500075e-002, 4.77538872e+000
2.60000080e-002, 4.79102325e+000
2.62500085e-002, 4.81849718e+000
2.65000090e-002, 4.85680103e+000
2.67500095e-002, 4.90014267e+000
2.70000100e-002, 4.94247818e+000
2.72500105e-002, 4.97653055e+000
2.75000110e-002, 4.99316740e+000
2.77500115e-002, 4.98174334e+000
2.80000120e-002, 4.92798615e+000
2.82500125e-002, 4.79744911e+000
2.85000131e-002, 4.47690058e+000
2.87500136e-002, 3.96035886e+000
2.90000141e-002, 3.45473790e+000
2.92500146e-002, 2.97089005e+000
2.95000151e-002, 2.64087558e+000
2.97500156e-002, 2.06589508e+000
3.00000161e-002, 1.72606862e+000


