[Name],,,
Series 1 at ave(Velocity)@fluid_chamber fluid_chamber_upper_zone,,,
,,,
[Data],,,
Time [ s ],ave(Velocity)@fluid_chamber fluid_chamber_upper_zone [ m s^-1 ],,
0.00E+00,0,,
2.50E-04,0.410670493,,
5.00E-04,1.54754898,,
7.50E-04,3.388485555,,
1.00E-03,5.12854125,,
1.25E-03,6.75059307,,
1.50E-03,7.96285819,,
1.75E-03,8.826870535,,
2.00E-03,9.653981115,,
2.25E-03,10.58627711,,
2.50E-03,11.29635745,,
2.75E-03,11.86043245,,
3.00E-03,12.1740634,,
3.25E-03,12.53076495,,
3.50E-03,12.87066105,,
3.75E-03,13.28688145,,
4.00E-03,13.64568605,,
4.25E-03,13.9314234,,
4.50E-03,14.16175415,,
4.75E-03,14.3059823,,
5.00E-03,14.37749855,,
5.25E-03,14.2821084,,
5.50E-03,14.1690629,,
5.75E-03,14.00055725,,
6.00E-03,13.7813118,,
6.25E-03,13.581357,,
6.50E-03,13.42333145,,
6.75E-03,13.208288,,
7.00E-03,13.05507155,,
7.25E-03,12.78404615,,
7.50E-03,12.51828825,,
7.75E-03,12.62046965,,
8.00E-03,12.5888632,,
8.25E-03,12.4604046,,
8.50E-03,12.2889539,,
8.75E-03,12.0361888,,
9.00E-03,11.7919527,,
9.25E-03,11.4598033,,
9.50E-03,11.12184505,,
9.75E-03,10.7261072,,
1.00E-02,10.3864958,,
1.02E-02,10.05449135,,
1.05E-02,9.72527899,,
1.07E-02,9.408465365,,
1.10E-02,9.087456645,,
1.12E-02,8.773666535,,
1.15E-02,8.451056005,,
1.17E-02,8.129203165,,
1.20E-02,7.815031345,,
1.22E-02,7.503138685,,
1.25E-02,7.20365548,,
1.27E-02,6.895509455,,
1.30E-02,6.584746305,,
1.32E-02,6.28324417,,
1.35E-02,5.980036155,,
1.37E-02,5.680590145,,
1.40E-02,5.38663658,,
1.42E-02,5.09423131,,
1.45E-02,4.804148235,,
1.47E-02,4.52535119,,
1.50E-02,4.236412765,,
1.52E-02,3.95310698,,
1.55E-02,3.71243177,,
1.57E-02,3.581735885,,
1.60E-02,3.4605194,,
1.62E-02,3.29752863,,
1.65E-02,3.12785476,,
1.67E-02,2.914616675,,
1.70E-02,2.79565016,,
1.72E-02,2.68695269,,
1.75E-02,2.594538985,,
1.77E-02,2.507242455,,
1.80E-02,2.42862854,,
1.82E-02,2.35725874,,
1.85E-02,2.290813,,
1.87E-02,2.232587695,,
1.90E-02,2.179654695,,
1.92E-02,2.13734062,,
1.95E-02,2.09765261,,
1.97E-02,2.061465305,,
2.00E-02,2.032063155,,
2.02E-02,2.00979807,,
2.05E-02,1.98899807,,
2.07E-02,1.97686065,,
2.10E-02,1.971211325,,
2.12E-02,1.959540795,,
2.15E-02,1.964368475,,
2.17E-02,1.969653565,,
2.20E-02,1.965944435,,
2.23E-02,1.9826462,,
2.25E-02,2.003116475,,
2.28E-02,2.011074845,,
2.30E-02,2.039454955,,
2.33E-02,2.0640398,,
2.35E-02,2.077092935,,
2.38E-02,2.111499375,,
2.40E-02,2.143375125,,
2.43E-02,2.15426157,,
2.45E-02,2.192882,,
2.48E-02,2.21923752,,
2.50E-02,2.22001096,,
2.53E-02,2.254918315,,
2.55E-02,2.26748703,,
2.58E-02,2.24556611,,
2.60E-02,2.263609265,,
2.63E-02,2.25481912,,
2.65E-02,2.21477218,,
2.68E-02,2.222909995,,
2.70E-02,2.20659822,,
2.73E-02,2.16741293,,
2.75E-02,2.174437635,,
2.78E-02,2.15262674,,
2.80E-02,2.11261664,,
2.83E-02,2.07077261,,
2.85E-02,1.98071251,,
2.88E-02,1.83916247,,
2.90E-02,1.661884565,,
2.93E-02,1.49198572,,
2.95E-02,1.37600724,,
2.98E-02,1.17456138,,
3.00E-02,1.082720655,,
